broadcast_id,tacticam_id,player_id,first_frame_broadcast,first_frame_tacticam
3,22,0,2,2
6,118,1,4,148
11,11,2,7,2
12,127,3,7,155
13,40,4,7,43
14,57,5,7,83
15,38,6,7,41
16,66,7,7,95
17,34,8,7,33
18,32,9,7,31
19,58,10,7,83
20,145,11,7,171
21,54,12,7,82
23,13,4,9,2
24,159,13,9,186
25,164,14,9,192
31,51,15,25,76
32,120,9,27,151
34,108,8,31,136
36,59,16,34,84
38,17,6,36,2
40,65,4,37,95
42,84,17,38,113
48,162,18,44,190
49,153,19,45,180
50,105,20,46,132
55,104,21,48,131
58,171,10,50,198
59,114,16,50,142
62,131,22,52,159
63,97,23,52,125
64,146,24,53,173
66,89,7,57,115
69,123,25,58,153
71,19,10,65,2
74,112,26,66,141
75,168,27,68,194
77,102,28,70,130
78,110,29,71,137
80,71,10,71,107
83,96,30,74,123
84,94,17,75,120
85,20,11,77,2
89,82,7,81,112
90,103,31,84,131
91,121,32,85,151
92,45,33,85,58
94,136,17,86,165
98,124,34,88,153
105,139,20,92,168
107,109,35,92,137
109,134,35,93,162
110,117,29,94,148
120,122,9,102,153
121,158,32,103,186
126,141,36,105,170
128,140,37,107,168
131,132,22,109,161
133,148,38,110,176
135,160,39,112,190
137,163,40,113,192
139,144,20,114,171
141,149,36,118,177
142,9,41,119,2
144,1,20,123,2
